================================================================================================================================================================
4年级8个单元完整文章汇总
================================================================================================================================================================

单元         | 周          | 天          | 主题                                  | 文章列表
第5单元     | 第10周    | 第2天    | 生活的滋味                               | 我家的菜熟了（习作例文）；孔融让梨；四时田园杂兴（其二十五）；日积月累
第5单元     | 第10周    | 第3天    | 生动的形象                               | 猫（节选）；麻雀（复习·侧面）；弟子规（节选）；日积月累
第5单元     | 第10周    | 第4天    | 战胜恐惧                                | 珍珠鸟（节选）；将相和（廉颇蔺相如）；如果我是一朵云；日积月累
第5单元     | 第10周    | 第5天    | 事情的道理                               | 小木船（复习·和解）；菜园（节选）；郑人买履；日积月累
第5单元     | 第10周    | 第6天    | 思考与总结                               | 爬天都峰（复习·总结）；匆匆（节选）；芙蓉楼送辛渐；日积月累
第6单元     | 第11周    | 第1天    | 安全与警惕                               | 牛和鹅（节选一）；灯（节选）；出塞（节选）；日积月累
第6单元     | 第11周    | 第2天    | 知人论世                                | 一只窝囊的大老虎（节选）；黔之驴；弟子规（节选）；日积月累
第6单元     | 第11周    | 第3天    | 游戏与童年                               | 我的信念（节选）；童年（节选）；守株待兔；日积月累
第6单元     | 第11周    | 第4天    | 换位思考                                | 牛和鹅（节选二）；童年的朋友（节选）；曾参杀猪；日积月累
第6单元     | 第11周    | 第5天    | 乐观与豁达                               | 陀螺（节选）；别董大；弟子规（改过篇）；日积月累
第6单元     | 第11周    | 第6天    | 平凡的价值                               | 荷花淀（节选）；和尚与推车；月夜；日积月累
第6单元     | 第12周    | 第1天    | 探索与技巧                               | 陀螺（复习·乐趣）；听听那冷雨（节选）；掩耳盗铃；日积月累
第6单元     | 第12周    | 第2天    | 强者与弱点                               | 一只窝囊的大老虎（复习·弱点）；司马光砸缸；渔歌子；日积月累
第6单元     | 第12周    | 第3天    | 细微的情感                               | 荷塘月色（节选）；牛和鹅（复习·对比）；弟子规（节选）；日积月累
第6单元     | 第12周    | 第4天    | 成长的哲理                               | 我的老师（节选）；愚人造屋；如果（选读）；日积月累
第6单元     | 第12周    | 第5天    | 细节的力量                               | 一只窝囊的大老虎（复习·对比）；从百草园到三味书屋（节选）；刻舟求剑；日积月累
第6单元     | 第12周    | 第6天    | 真情与表达                               | 陀螺（复习·结尾）；背影（节选）；鹿柴；日积月累
第7单元     | 第13周    | 第1天    | 立志与担当                               | 为中华之崛起而读书（节选）；鸟的天堂（节选）；凉州词；日积月累
第7单元     | 第13周    | 第2天    | 气节与坚持                               | 梅兰芳蓄须（节选一）；苏武牧羊；弟子规（节俭篇）；日积月累
第7单元     | 第13周    | 第3天    | 家国情怀                                | 延安，我把你追寻（节选）；春天的消息；两小儿辩日；日积月累
第7单元     | 第13周    | 第4天    | 追求与信念                               | 梅兰芳蓄须（节选二）；鸟的天堂（节选二）；完璧归赵；日积月累
第7单元     | 第13周    | 第5天    | 边塞的壮阔                               | 凉州词；延安，我把你追寻（复习·精神）；弟子规（节选）；日积月累
第7单元     | 第13周    | 第6天    | 智慧与自省                               | 故都的秋（节选）；凿壁偷光；石灰吟；日积月累
第7单元     | 第14周    | 第1天    | 爱国与自强                               | 为中华之崛起而读书（复习·立志）；我的老师（节选）；指鹿为马；日积月累
第7单元     | 第14周    | 第2天    | 革命的激情                               | 延安，我把你追寻（复习·激情）；卧薪尝胆；凉州词（节选）；日积月累
第7单元     | 第14周    | 第3天    | 民族的脊梁                               | 我的信念（节选）；梅兰芳蓄须（复习·精神）；弟子规（节选）；日积月累
第7单元     | 第14周    | 第4天    | 诗意与哲思                               | 雨天的书（节选）；神笔马良；一棵是枣树（选读）；日积月累
第7单元     | 第14周    | 第5天    | 英雄的细节                               | 梅兰芳蓄须（复习·细节）；藤野先生（节选）；智子疑邻；日积月累
第7单元     | 第14周    | 第6天    | 生命的意义                               | 竹石；延安，我把你追寻（复习·总结）；雅舍谈吃（节选）；日积月累
第8单元     | 第15周    | 第1天    | 智慧的判断                               | 王戎不取道旁李（节选）；春（节选）；忆江南；日积月累
第8单元     | 第15周    | 第2天    | 为民的智慧                               | 西门豹治邺（节选一）；大禹治水；弟子规（节选）；日积月累
第8单元     | 第15周    | 第3天    | 科学与求精                               | 扁鹊治病（节选）；老马识途；鸟（节选）；日积月累
第8单元     | 第15周    | 第4天    | 决断的勇气                               | 西门豹治邺（节选二）；雅舍小品（节选）；神农尝百草；日积月累
第8单元     | 第15周    | 第5天    | 信念的力量                               | 纪昌学射（节选）；王戎不取道旁李（复习·智慧）；弟子规（节选）；日积月累
第8单元     | 第15周    | 第6天    | 精进的道路                               | 王戎不取道旁李（复习·反思）；夸父追日；绝句；日积月累
第8单元     | 第16周    | 第1天    | 实干的精神                               | 西门豹治邺（复习·实干）；春的消息（节选）；守株待兔；日积月累
第8单元     | 第16周    | 第2天    | 坚持的磨练                               | 纪昌学射（复习·目标）；铁杵磨成针；黄鹤楼送孟浩然之广陵；日积月累
第8单元     | 第16周    | 第3天    | 治病与治国                               | 扁鹊治病（复习·警告）；落花生（节选）；弟子规（节选）；日积月累
第8单元     | 第16周    | 第4天    | 童年的乐趣                               | 落花生（复习·哲理）；猴子捞月；如果我是一朵雪花；日积月累
第8单元     | 第16周    | 第5天    | 细节与成功                               | 扁鹊治病（复习·启示）；老马（节选）；掩耳盗铃；日积月累
第8单元     | 第16周    | 第6天    | 为人与处世                               | 王戎不取道旁李（复习·处世）；纪昌学射（复习·高境界）；送元二使安西；日积月累

总计：96 天，共 385 篇文章
