================================================================================================================================================================
2年级8个单元完整文章汇总
================================================================================================================================================================

单元         | 周          | 天          | 主题                                  | 文章列表
第6单元     | 第11周    | 第1天    | 灯光下的身影                              | 八角楼上（节选）；深夜的灯光；塞下曲（其三）；日积月累
第6单元     | 第11周    | 第2天    | 同甘共苦                                | 朱德的扁担（节选）；愚公移山（极简版）；弟子规（节选）；日积月累
第6单元     | 第11周    | 第3天    | 欢乐的节日                               | 泼水节；快乐的节日；王冕学画（极简版）；日积月累
第6单元     | 第11周    | 第4天    | 难忘的记忆                               | 难忘的泼水节（节选）；雷锋的故事；大禹治水；日积月累
第6单元     | 第11周    | 第5天    | 英雄的赞歌                               | 刘胡兰（节选）；青松；论语（节选）；日积月累
第6单元     | 第11周    | 第6天    | 周末故事会                               | 王二小；花木兰从军；红领巾；日积月累
第6单元     | 第12周    | 第1天    | 革命的故事                               | 八角楼上（复习）；红军鞋；神笔马良（极简版）；日积月累
第6单元     | 第12周    | 第2天    | 领袖的风采                               | 朱德的扁担（复习）；精忠报国；出塞；日积月累
第6单元     | 第12周    | 第3天    | 欢乐的歌舞                               | 快乐的舞蹈；难忘的泼水节（节选二）；弟子规（节选）；日积月累
第6单元     | 第12周    | 第4天    | 金色的童年                               | 放风筝；夸父追日；小书包；日积月累
第6单元     | 第12周    | 第5天    | 人物的描写                               | 刘胡兰（复习）；我的妈妈；孔融让梨（极简版）；日积月累
第6单元     | 第12周    | 第6天    | 美好生活                                | 难忘的泼水节（复习）；幸福的生活；所见；日积月累
第7单元     | 第13周    | 第1天    | 淘气的雾孩子                              | 雾在哪里（节选）；云雾山；咏鹅；日积月累
第7单元     | 第13周    | 第2天    | 辽阔的草原                               | 江南；北风和太阳；弟子规（节选）；日积月累
第7单元     | 第13周    | 第3天    | 纯洁的雪                                | 下雪啦；雪花；孙康映雪（极简版）；日积月累
第7单元     | 第13周    | 第4天    | 善良的雪孩子                              | 雪孩子（节选）；堆雪人；农夫和蛇；日积月累
第7单元     | 第13周    | 第5天    | 变化的自然                               | 雾在哪里（节选二）；悯农（其二）；论语（节选）；日积月累
第7单元     | 第13周    | 第6天    | 冬日的乐趣                               | 滑雪；蚂蚁和蝈蝈；北风娃娃；日积月累
第7单元     | 第14周    | 第1天    | 勇敢的雪孩子                              | 雪孩子（节选二）；冬天的早晨；程门立雪（极简版）；日积月累
第7单元     | 第14周    | 第2天    | 神奇的雾                                | 雾在哪里（节选三）；太阳和风；逢雪宿芙蓉山主人；日积月累
第7单元     | 第14周    | 第3天    | 广阔的天地                               | 天空；敕勒歌（复习）；三字经（选段）；日积月累
第7单元     | 第14周    | 第4天    | 想象的翅膀                               | 云的变身；井底之蛙（对比阅读）；假如我是一朵云；日积月累
第7单元     | 第14周    | 第5天    | 美丽的冬天                               | 雪孩子（节选三）；冬天的松树；映雪读书；日积月累
第7单元     | 第14周    | 第6天    | 大自然的语言                              | 雾在哪里（复习）；冬天的动物；夜雪；日积月累
第8单元     | 第15周    | 第1天    | 真诚的赞美                               | 称赞（节选）；学会夸奖；赠汪伦；日积月累
第8单元     | 第15周    | 第2天    | 友谊的纽带                               | 纸船和风筝（节选）；两只羊过桥；弟子规（节选）；日积月累
第8单元     | 第15周    | 第3天    | 奔跑的快乐                               | 快乐的小河（节选）；小河；郑人买履（极简版）；日积月累
第8单元     | 第15周    | 第4天    | 消除误会                                | 纸船和风筝（节选二）；小兔道歉；折箭；日积月累
第8单元     | 第15周    | 第5天    | 自信的力量                               | 称赞（节选二）；黄鹤楼送孟浩然之广陵；论语（节选）；日积月累
第8单元     | 第15周    | 第6天    | 周末乐翻天                               | 好朋友；狮子和老鼠；风筝；日积月累
第8单元     | 第16周    | 第1天    | 传递快乐                                | 快乐的小河（复习）；分享玩具；掩耳盗铃（极简版）；日积月累
第8单元     | 第16周    | 第2天    | 宽容与谅解                               | 纸船和风筝（复习）；狐狸和鹳；惠崇春江晚景；日积月累
第8单元     | 第16周    | 第3天    | 学会欣赏                                | 称赞（复习）；小河的歌；弟子规（节选）；日积月累
第8单元     | 第16周    | 第4天    | 团结力量大                               | 一把筷子；鸽子和蚂蚁；咏柳；日积月累
第8单元     | 第16周    | 第5天    | 成长的脚步                               | 闻鸡起舞（极简版）；小树长大了；称赞（节选三）；日积月累
第8单元     | 第16周    | 第6天    | 永远是朋友                               | 永远的朋友；管鲍之交（极简版）；社日；日积月累

总计：96 天，共 384 篇文章
