================================================================================================================================================================
6年级8个单元完整文章汇总
================================================================================================================================================================

单元         | 周          | 天          | 主题                                  | 文章列表
第3单元     | 第5周    | 第3天    | 文学审美与意境                             | 五味（节选，生活意趣）；水中的月亮（现代童诗）；杞人忧天（寓言）；写作技巧：开头
第3单元     | 第5周    | 第4天    | 人文与历史沉思                             | 故宫博物院（节选，建筑宏伟）；目送（节选，历史的重量）；愚公移山（寓言）；写作技巧：结尾
第3单元     | 第5周    | 第5天    | 修身与文化底蕴                             | 语文园地（节选，语言的凝练）；与诸子登岘山；朱子家训（节选，修身）；八字成语 | 名言
第3单元     | 第5周    | 第6天    | 想象与坚韧之魂                             | 青铜葵花（节选，想象的力量）；精卫填海（神话传说）；一代人（童诗）；歇后语 | 谚语
第3单元     | 第6周    | 第1天    | 细致观察与情感联结                           | 竹节人（节选二，制作与传承）；落花生（节选，朴素之美）；咏雪；好词
第3单元     | 第6周    | 第2天    | 科技与时空思辨                             | 宇宙生命的谜（节选二，推理论证）；神农尝百草（故事传说）；泊船瓜洲；好段落
第3单元     | 第6周    | 第3天    | 文化理解与处世智慧                           | 四世同堂（节选，老北京文化）；故宫博物院（节选二，结构象征）；菜根谭（节选，处世）；修辞手法
第3单元     | 第6周    | 第4天    | 自然与生命的哲思                            | 心有猛虎，细嗅蔷薇（节选）；仓颉造字（故事传说）；致橡树（节选，独立的爱）；修辞手法
第3单元     | 第6周    | 第5天    | 积极行动与奉献                             | 让生活更美好（节选，主题与行动）；繁星·春水（节选，母爱与感恩）；为学（节选，勤奋）；描写手法
第3单元     | 第6周    | 第6天    | 文化承载与崇高气节                           | 故宫博物院（节选三，整体感受）；人生的意义（节选）；过零丁洋；描写手法
第4单元     | 第7周    | 第1天    | 责任如山                                | 桥（环境与抉择）；白杨礼赞（节选）；石灰吟；好词
第4单元     | 第7周    | 第2天    | 善意的谎言与真相                            | 穷人（心理风暴）；项链（节选）；孟子：不食嗟来之食；好段落
第4单元     | 第7周    | 第3天    | 生命的姿态                               | 荷塘月色（节选）；鹰之重生；陋室铭；写作技巧：开头
第4单元     | 第7周    | 第4天    | 忠诚与信仰                               | 金色的鱼钩（信仰的颜色）；丰碑（节选）；苏武牧羊（节选）；写作技巧：结尾
第4单元     | 第7周    | 第5天    | 细节的力量                               | 桥（父与子的细节）；背影（节选）；朱子家训（修身篇）；八字成语 | 名言
第4单元     | 第7周    | 第6天    | 光阴的故事                               | 匆匆（时间的痕迹）；凿壁偷光；明日歌；歇后语 | 谚语
第4单元     | 第8周    | 第1天    | 诚实与信任                               | 金色的鱼钩（悲壮的谎言）；城南旧事（节选）；曾子杀猪；好词
第4单元     | 第8周    | 第2天    | 坚持与毅力                               | 桥（尾声的震撼）；愚公移山（节选）；满江红·写怀；好段落
第4单元     | 第8周    | 第3天    | 心灵的共鸣                               | 紫藤萝瀑布（节选）；穷人（爱的决定）；论语：孝悌为本；修辞手法
第4单元     | 第8周    | 第4天    | 纯真与驯服                               | 小王子（驯服的秘密）；快乐王子（节选）；繁星（选读）；修辞手法
第4单元     | 第8周    | 第5天    | 智慧与逻辑                               | 金色的鱼钩（生命的微光）；生命 生命（节选）；画蛇添足；描写手法
第4单元     | 第8周    | 第6天    | 羁旅与乡愁                               | 天净沙·秋思；秋天的怀念（节选）；穷人（人性的回响）；描写手法
第5单元     | 第9周    | 第1天    | 生命的坚韧与期盼                            | 夏天里的成长（节选一）；西山的太阳（节选）；长歌行；好词
第5单元     | 第9周    | 第2天    | 成长的哲理与智慧                            | 盼（节选一）；特洛伊的木马（节选）；论语（节选，君子）；好段落
第5单元     | 第9周    | 第3天    | 童年的诗意与想象                            | 童年的朋友（节选）；一只蜗牛去散步；列子·汤问（节选，愚公移山）；写作技巧：开头
第5单元     | 第9周    | 第4天    | 生命的丰盈与哲思                            | 夏天里的成长（节选二）；雅典娜的智慧（节选）；人生（节选）；写作技巧：结尾
第5单元     | 第9周    | 第5天    | 责任与理想之光                             | 爸爸的计划（节选）；秋兴八首（其一）；菜根谭（节选，心静）；八字成语 | 名言
第5单元     | 第9周    | 第6天    | 生命的纯粹与永恒                            | 从百草园到三味书屋（节选）；小王子（节选，玫瑰的意义）；在天晴了的时候；歇后语 | 谚语
第5单元     | 第10周    | 第1天    | 责任与匠心精神                             | 小站（节选）；海边的早晨（节选）；世说新语·雅量（节选）；好词
第5单元     | 第10周    | 第2天    | 生命的底色与沉淀                            | 盼（节选二）；夸父追日（节选）；春夜喜雨；好段落
第5单元     | 第10周    | 第3天    | 生命的独立与思辨                            | 窗前的树（节选）；爸爸的计划（节选二）；孟子·尽心上（节选，万物皆备于我）；修辞手法
第5单元     | 第10周    | 第4天    | 生命中的爱与力量                            | 母亲的纯净（节选）；精卫填海（节选）；夏夜（节选）；修辞手法
第5单元     | 第10周    | 第5天    | 成长的积累与超越                            | 夏天里的成长（节选三）；海燕（节选）；世说新语·言语（节选）；描写手法
第5单元     | 第10周    | 第6天    | 生命的诗意与永恒                            | 小站（节选二）；林中的小路（节选）；竹枝词；描写手法
第6单元     | 第11周    | 第1天    | 地球的脉动                               | 只有一个地球（选段，美丽的星球）；寂静的春天（节选，明日的寓言）；浪淘沙（其一）；好词
第6单元     | 第11周    | 第2天    | 山水田园情                               | 书湖阴先生壁；大禹治水（神话传说）；孟子·梁惠王上（节选，牛山之木）；好段落
第6单元     | 第11周    | 第3天    | 自然的智慧                               | 大自然的文字（节选）；雨后；列子·汤问（节选，愚公移山）；写作技巧：开头
第6单元     | 第11周    | 第4天    | 绿色的奇迹                               | 青山不老（选段）；种树的男人（节选）；精卫填海；写作技巧：结尾
第6单元     | 第11周    | 第5天    | 土地的眷恋                               | 三黑和土地（选段）；江南春；朱子语类（节选）；八字成语 | 名言
第6单元     | 第11周    | 第6天    | 生命的律动                               | 匆匆（节选，感悟时光）；女娲补天；飞鸟集（节选）；歇后语 | 谚语
第6单元     | 第12周    | 第1天    | 守护与希望                               | 单元回顾：环境的呼唤；这也是一粒种子；陈太丘与友期行；好词
第6单元     | 第12周    | 第2天    | 诗意山河                                | 古诗复习：山水意象；西湖七月半（节选）；饮湖上初晴后雨；好段落
第6单元     | 第12周    | 第3天    | 修辞之美                                | 林中草地（节选）；课文复习：只有一个地球；菜根谭（节选）；修辞手法
第6单元     | 第12周    | 第4天    | 想象的翅膀                               | 草原（节选，老舍）；盘古开天地；繁星（节选）；修辞手法
第6单元     | 第12周    | 第5天    | 细节的力量                               | 课文复习：詹天佑（细节描写）；白杨（节选）；韩非子（节选，矛与盾）；描写手法
第6单元     | 第12周    | 第6天    | 综合审美与表达                             | 水调歌头·明月几时有（节选）；珍珠鸟（节选）；题西林壁；描写手法
第7单元     | 第13周    | 第1天    | 高山流水                                | 伯牙鼓琴（课文复习）；音乐与人生（节选）；琴歌；好词
第7单元     | 第13周    | 第2天    | 艺术与真理                               | 书戴嵩画牛（课文复习）；达·芬奇画蛋；庄子·养生主（节选，庖丁解牛）；好段落
第7单元     | 第13周    | 第3天    | 想象的翅膀                               | 傅雷家书（节选，谈艺术）；繁星（节选）；孟子·告子上（节选，学弈）；写作技巧：开头
第7单元     | 第13周    | 第4天    | 光影与旋律                               | 月光曲（课文复习）；紫藤萝瀑布（节选）；瞎子阿炳与《二泉映月》；写作技巧：结尾
第7单元     | 第13周    | 第5天    | 国粹虚实                                | 京剧趣谈（课文复习）；月下独酌（其一）；韩非子·和氏（节选，和氏之璧）；八字成语 | 名言
第7单元     | 第13周    | 第6天    | 文化的传承                               | 北京的春节（节选，京剧）；梅兰芳蓄须明志；飞鸟集（节选）；歇后语 | 谚语
第7单元     | 第14周    | 第1天    | 听觉的盛宴                               | 老残游记（节选，王小玉说书）；欧阳修苦读；伯牙鼓琴（再读）；好词
第7单元     | 第14周    | 第2天    | 专注的力量                               | 王羲之吃墨；墨梅；书戴嵩画牛（再读）；好段落
第7单元     | 第14周    | 第3天    | 自然与哲思                               | 藕与莼菜（节选）；淮南子·人间训（节选，塞翁失马）；月光曲（再读）；修辞手法
第7单元     | 第14周    | 第4天    | 万物的灵性                               | 草木春秋（节选，晚饭花）；一代人；俞伯牙摔琴谢知音；修辞手法
第7单元     | 第14周    | 第5天    | 技艺与心境                               | 月迹（节选）；卖油翁（节选）；单元回顾：我的拿手好戏；描写手法
第7单元     | 第14周    | 第6天    | 生活即文章                               | 呼兰河传（节选，祖父的园子）；师说（节选）；单元回顾：艺术之美；描写手法
第8单元     | 第15周    | 第1天    | 童年的纯真与失落                            | 少年闰土（节选一）；秋天的况味（节选）；望庐山瀑布（其二）；好词
第8单元     | 第15周    | 第2天    | 旧日的情怀与人情                            | 我的伯父鲁迅先生（节选二）；孔子周游列国（运筹帷幄）；大学（节选，修身治国）；好段落
第8单元     | 第15周    | 第3天    | 人性的复杂与幽默                            | 好的故事（节选）；风是甜的吗（节选）；列子·两小儿辩日（节选）；写作技巧：开头
第8单元     | 第15周    | 第4天    | 生命的悲悯与责任                            | 我的伯父鲁迅先生（节选三）；听听那冷雨（节选）；精卫填海（寓意深远）；写作技巧：结尾
第8单元     | 第15周    | 第5天    | 对逝者的怀念与思考                           | 有的人——纪念鲁迅逝世有感（节选）；雅舍谈吃（节选）；赠范晔；八字成语 | 名言
第8单元     | 第15周    | 第6天    | 生命的顽强与自足                            | 野草（节选）；爱莲说（选读）；一只牛的故事；歇后语 | 谚语
第8单元     | 第16周    | 第1天    | 人与时代的反思                             | 少年闰土（节选二）；背影（节选）；世说新语·咏雪（节选）；好词
第8单元     | 第16周    | 第2天    | 生命的厚重与哲思                            | 好的故事（节选二）；边城（节选）；泊秦淮；好段落
第8单元     | 第16周    | 第3天    | 责任的担当与传承                            | 故都的秋（节选）；我的伯父鲁迅先生（节选四）；论语·学而（节选）；修辞手法
第8单元     | 第16周    | 第4天    | 人生的选择与坚持                            | 好的故事（节选三）；世说新语·囊中物；风是甜的吗（节选二）；修辞手法
第8单元     | 第16周    | 第5天    | 人性的光辉与阴影                            | 少年闰土（节选三）；灯下漫笔（节选）；墨子·公输（节选）；描写手法
第8单元     | 第16周    | 第6天    | 生命的归属与超越                            | 有的人——纪念鲁迅逝世有感（节选二）；我是一片叶子（节选）；茅屋为秋风所破歌（节选）；描写手法

总计：96 天，共 384 篇文章
