========================================================================================================================================================================================================
1年级8个单元完整文章汇总（详细版）（有拼音_重写版·下学期）
========================================================================================================================================================================================================

单元        | 周       | 天       | 主题                         | 文章1[体裁]                              | 文章2[体裁]                              | 文章3[体裁]
第2单元   | 第4周  | 第6天  | 周末小计划                      | 周末快乐[童谣童诗]                         | 我会帮忙[现代短文]                         | 计划句式
第3单元   | 第5周  | 第1天  | 好朋友手牵手                     | 我们一起玩[童谣童诗]                        | 一起搭积木[现代短文]                        | 合作词语
第3单元   | 第5周  | 第2天  | 会道歉                        | 对不起[童谣童诗]                          | 踩到脚[现代短文]                          | 礼貌对话
第3单元   | 第5周  | 第3天  | 学会轮流                       | 轮流玩[童谣童诗]                          | 滑滑梯[现代短文]                          | 公平词语
第3单元   | 第5周  | 第4天  | 帮助别人                       | 小帮手[童谣童诗]                          | 捡起作业本[现代短文]                        | 帮助句子
第3单元   | 第5周  | 第5天  | 表达喜欢                       | 我喜欢[童谣童诗]                          | 送一朵小花[现代短文]                        | 情感词语
第3单元   | 第5周  | 第6天  | 生气怎么办                      | 不生气[童谣童诗]                          | 借玩具[现代短文]                          | 冷静方法
第3单元   | 第6周  | 第1天  | 一起学习                       | 一起读[童谣童诗]                          | 同桌提醒我[现代短文]                        | 学习词语
第3单元   | 第6周  | 第2天  | 一起运动                       | 跳绳歌[童谣童诗]                          | 传球游戏[现代短文]                         | 运动词语
第3单元   | 第6周  | 第3天  | 会请人帮忙                      | 请帮忙[童谣童诗]                          | 拿不到的书[现代短文]                        | 礼貌句子
第3单元   | 第6周  | 第4天  | 学会等待                       | 等等我[童谣童诗]                          | 排队买水[现代短文]                         | 排队词语
第3单元   | 第6周  | 第5天  | 说话要温柔                      | 轻轻说[童谣童诗]                          | 小声提醒[现代短文]                         | 温柔词语
第3单元   | 第6周  | 第6天  | 周末一起玩                      | 周末约一约[童谣童诗]                        | 一起画画[现代短文]                         | 周末词语
第4单元   | 第7周  | 第1天  | 春天来了                       | 春天问好[童谣童诗]                         | 找春天[现代短文]                          | 春天词语
第4单元   | 第7周  | 第2天  | 小雨沙沙                       | 雨点儿[童谣童诗]                          | 雨后的小路[现代短文]                        | 雨天词语
第4单元   | 第7周  | 第3天  | 小动物醒来                      | 小动物早安[童谣童诗]                        | 小蝴蝶来了[现代短文]                        | 动物词语
第4单元   | 第7周  | 第4天  | 颜色真好看                      | 颜色歌[童谣童诗]                          | 彩笔画春天[现代短文]                        | 颜色词语
第4单元   | 第7周  | 第5天  | 爱护小树                       | 小树小树[童谣童诗]                         | 给小树浇水[现代短文]                        | 爱护词语
第4单元   | 第7周  | 第6天  | 快乐春游                       | 出发啦[童谣童诗]                          | 队伍不走散[现代短文]                        | 春游词语
第4单元   | 第8周  | 第1天  | 小小观察家                      | 看一看[童谣童诗]                          | 云像什么[现代短文]                         | 比一比
第4单元   | 第8周  | 第2天  | 闻一闻                        | 花香香[童谣童诗]                          | 闻到饭香[现代短文]                         | 味道词语
第4单元   | 第8周  | 第3天  | 摸一摸                        | 软和硬[童谣童诗]                          | 小手去摸[现代短文]                         | 感觉词语
第4单元   | 第8周  | 第4天  | 听一听                        | 声音[童谣童诗]                           | 风来了[现代短文]                          | 拟声词
第4单元   | 第8周  | 第5天  | 会说一句话                      | 我看见[童谣童诗]                          | 公园里[现代短文]                          | 句式
第4单元   | 第8周  | 第6天  | 周末去公园                      | 公园真好[童谣童诗]                         | 把垃圾带走[现代短文]                        | 公园词语
第5单元   | 第9周  | 第1天  | 我爱我的家                      | 家里真温暖[童谣童诗]                        | 帮妈妈拿碗[现代短文]                        | 家人词语
第5单元   | 第9周  | 第2天  | 会做小家务                      | 小家务[童谣童诗]                          | 收玩具[现代短文]                          | 动作词
第5单元   | 第9周  | 第3天  | 自己的事自己做                    | 自己来[童谣童诗]                          | 系鞋带[现代短文]                          | 自理词语
第5单元   | 第9周  | 第4天  | 时间小帮手                      | 小时钟[童谣童诗]                          | 不磨蹭的小豆[现代短文]                       | 时间词语
第5单元   | 第9周  | 第5天  | 爱惜粮食                       | 吃饭歌[童谣童诗]                          | 把饭吃光光[现代短文]                        | 餐桌词语
第5单元   | 第9周  | 第6天  | 周末我当家                      | 周末小主人[童谣童诗]                        | 做小点心[现代短文]                         | 周末词语
第5单元   | 第10周 | 第1天  | 我会照顾弟弟妹妹                   | 温柔一点[童谣童诗]                         | 给弟弟让座[现代短文]                        | 关心句子
第5单元   | 第10周 | 第2天  | 说谢谢                        | 谢谢你[童谣童诗]                          | 谢谢快递叔叔[现代短文]                       | 礼貌词语
第5单元   | 第10周 | 第3天  | 会说请                        | 请字真好听[童谣童诗]                        | 请你让一让[现代短文]                        | 请字句子
第5单元   | 第10周 | 第4天  | 不发脾气                       | 不发火[童谣童诗]                          | 玩具被碰倒[现代短文]                        | 冷静词语
第5单元   | 第10周 | 第5天  | 遇到困难不放弃                    | 再来一次[童谣童诗]                         | 练跳绳[现代短文]                          | 鼓励句子
第5单元   | 第10周 | 第6天  | 我爱阅读                       | 读书真好[童谣童诗]                         | 睡前故事[现代短文]                         | 阅读词语
第6单元   | 第11周 | 第1天  | 身体棒棒                       | 运动歌[童谣童诗]                          | 早操时间[现代短文]                         | 运动词语
第6单元   | 第11周 | 第2天  | 勤洗手                        | 洗手歌[童谣童诗]                          | 看不见的小细菌[现代短文]                      | 洗手词语
第6单元   | 第11周 | 第3天  | 刷牙护牙                       | 刷牙歌[童谣童诗]                          | 牙齿不疼[现代短文]                         | 护牙词语
第6单元   | 第11周 | 第4天  | 早睡早起                       | 睡觉歌[童谣童诗]                          | 不熬夜的小乐[现代短文]                       | 作息词语
第6单元   | 第11周 | 第5天  | 吃饭不挑食                      | 蔬菜水果[童谣童诗]                         | 一口一口吃[现代短文]                        | 餐桌词语
第6单元   | 第11周 | 第6天  | 心情小太阳                      | 开心歌[童谣童诗]                          | 和好[现代短文]                           | 心情词语
第6单元   | 第12周 | 第1天  | 我会保护自己                     | 安全小歌[童谣童诗]                         | 热水别乱碰[现代短文]                        | 安全词语
第6单元   | 第12周 | 第2天  | 小病号怎么办                     | 不舒服[童谣童诗]                          | 去医务室[现代短文]                         | 身体词语
第6单元   | 第12周 | 第3天  | 爱运动不怕累                     | 跑步[童谣童诗]                           | 跳远[现代短文]                           | 运动句子
第6单元   | 第12周 | 第4天  | 吃饭讲卫生                      | 干净小手[童谣童诗]                         | 不抢食[现代短文]                          | 卫生词语
第6单元   | 第12周 | 第5天  | 我会表达                       | 我想说[童谣童诗]                          | 我需要帮助[现代短文]                        | 表达句子
第6单元   | 第12周 | 第6天  | 周末健康日                      | 健康小计划[童谣童诗]                        | 去公园跑跑[现代短文]                        | 健康词语
第7单元   | 第13周 | 第1天  | 影子真有趣                      | 影子[童谣童诗]                           | 影子变长了[现代短文]                        | 发现词语
第7单元   | 第13周 | 第2天  | 水的本领                       | 水宝宝[童谣童诗]                          | 关紧水龙头[现代短文]                        | 节水词语
第7单元   | 第13周 | 第3天  | 风来了                        | 风儿[童谣童诗]                           | 纸飞机[现代短文]                          | 风的词语
第7单元   | 第13周 | 第4天  | 磁铁吸一吸                      | 小磁铁[童谣童诗]                          | 回形针跑过来[现代短文]                       | 试一试
第7单元   | 第13周 | 第5天  | 声音从哪来                      | 叮咚叮咚[童谣童诗]                         | 小鼓[现代短文]                           | 声音词语
第7单元   | 第13周 | 第6天  | 我会提问                       | 为什么[童谣童诗]                          | 问路[现代短文]                           | 提问句子
第7单元   | 第14周 | 第1天  | 小实验：沉和浮                    | 沉浮歌[童谣童诗]                          | 叶子浮起来[现代短文]                        | 科学词语
第7单元   | 第14周 | 第2天  | 冷热不同                       | 热和冷[童谣童诗]                          | 摸一摸杯子[现代短文]                        | 感觉词语
第7单元   | 第14周 | 第3天  | 光和影                        | 光来了[童谣童诗]                          | 手影小兔子[现代短文]                        | 反义词
第7单元   | 第14周 | 第4天  | 我会观察天气                     | 天气歌[童谣童诗]                          | 带伞[现代短文]                           | 天气词语
第7单元   | 第14周 | 第5天  | 我会爱护小动物                    | 不去追[童谣童诗]                          | 给小鸟留水[现代短文]                        | 爱护词语
第7单元   | 第14周 | 第6天  | 周末小发现                      | 我发现[童谣童诗]                          | 记录一下[现代短文]                         | 发现句式
第8单元   | 第15周 | 第1天  | 小小医生                       | 健康歌[童谣童诗]                          | 发烧了[现代短文]                          | 看病词语
第8单元   | 第15周 | 第2天  | 保护嗓子                       | 嗓子要爱护[童谣童诗]                        | 上课不喊[现代短文]                         | 护嗓词语
第8单元   | 第15周 | 第3天  | 小小护士                       | 小伤口[童谣童诗]                          | 摔倒了[现代短文]                          | 受伤词语
第8单元   | 第15周 | 第4天  | 药不能乱吃                      | 听大人[童谣童诗]                          | 甜甜的药[现代短文]                         | 用药词语
第8单元   | 第15周 | 第5天  | 勤洗手不生病                     | 勤洗手[童谣童诗]                          | 不揉眼睛[现代短文]                         | 卫生词语
第8单元   | 第15周 | 第6天  | 身体强壮                       | 我会运动[童谣童诗]                         | 坚持跑步[现代短文]                         | 坚持句子
第8单元   | 第16周 | 第1天  | 关爱小伙伴                      | 你还好吗[童谣童诗]                         | 扶一扶[现代短文]                          | 关心词语
第8单元   | 第16周 | 第2天  | 我会说清楚                      | 我哪里不舒服[童谣童诗]                       | 告诉老师[现代短文]                         | 表达句子
第8单元   | 第16周 | 第3天  | 天气变化要添衣                    | 添衣歌[童谣童诗]                          | 带外套[现代短文]                          | 天气词语
第8单元   | 第16周 | 第4天  | 吃水果补维生素                    | 水果歌[童谣童诗]                          | 洗水果[现代短文]                          | 水果词语
第8单元   | 第16周 | 第5天  | 早睡早起更有力                    | 作息歌[童谣童诗]                          | 不赖床[现代短文]                          | 作息词语
第8单元   | 第16周 | 第6天  | 学期小总结                      | 我学会了[童谣童诗]                         | 老师夸我[现代短文]                         | 总结句式

总计：96 天，共 288 篇文章
