========================================================================================================================================================================================================
1年级8个单元完整文章汇总（详细版）
========================================================================================================================================================================================================

单元       | 周      | 天      | 主题                        | 文章1[体裁]                             | 文章2[体裁]                             | 文章3[体裁]                             | 文章4[体裁]
第2单元 | 第3周 | 第3天 | 秋天的景色                     | 秋娃娃[童谣童诗]                           | 登鹳雀楼[古诗词]                           | 词语小宝库                               |                                    
第2单元 | 第3周 | 第4天 | 小嘴巴，说儿歌                   | 韵母歌[课本复习]                           | 谜语：猜猜我是谁[趣味谜语]                      | 好习惯小明星                              |                                    
第2单元 | 第3周 | 第5天 | 我有一个好妈妈                   | 小猴子爬山[故事传说]                         | 弟子规（选读）[国学经典]                       | 奇思妙想屋                               |                                    
第2单元 | 第3周 | 第6天 | 小嘴巴，爱说话                   | 学说话[童谣童诗]                           | 爱问问题的小红[故事传说]                       | 认读生字                                |                                    
第2单元 | 第4周 | 第1天 | 声母好朋友（b p m f）            | 声母宝宝练习[课本复习]                        | 绕口令：画和花[绕口令]                        | 词语小宝库                               |                                    
第2单元 | 第4周 | 第2天 | 爱动脑筋的宝宝                   | 小兔子盖房子[故事传说]                        | 春晓[古诗词]                             | 好习惯小明星                              |                                    
第2单元 | 第4周 | 第3天 | 小嘴巴，找朋友                   | 下雨歌[童谣童诗]                           | 谜语：猜动物[趣味谜语]                        | 学说一句话：什么时候，谁在哪儿干什么                  |                                    
第2单元 | 第4周 | 第4天 | 声母好朋友（d t n l）            | 声母宝宝练习[课本复习]                        | 声律启蒙（节选二）[国学经典]                     | 认读生字                                |                                    
第2单元 | 第4周 | 第5天 | 小蜜蜂采花蜜                    | 勤劳的小蜜蜂[故事传说]                        | 绕口令：小喇叭[绕口令]                        | 词语小宝库                               |                                    
第2单元 | 第4周 | 第6天 | 美丽的大自然                    | 小雨点[童谣童诗]                           | 悯农[古诗词]                             | 智慧小口诀                               |                                    
第3单元 | 第5周 | 第1天 | 声母g k h                   | 小猴子爬山[课本复习]                         | 三字经（选段）[国学经典]                       | 生字开花                                |                                    
第3单元 | 第5周 | 第2天 | 声母j q x                   | 小鸡找朋友[故事传说]                         | 小妞妞[绕口令]                            | 学说一句话：谁在哪儿干什么                       |                                    
第3单元 | 第5周 | 第3天 | 夏日池塘边                     | 小青蛙[童谣童诗]                           | 风[古诗词]                              | 词语小宝库                               |                                    
第3单元 | 第5周 | 第4天 | 声母z c s                   | 小兔子坐下[课本复习]                         | 谜语：红红脸庞[趣味谜语]                       | 好习惯小明星                              |                                    
第3单元 | 第5周 | 第5天 | 分享的快乐                     | 小兔的白菜[故事传说]                         | 孝敬父母[国学经典]                          | 奇思妙想屋                               |                                    
第3单元 | 第5周 | 第6天 | 舌尖后音zh ch sh r            | 小手绢[童谣童诗]                           | 勤奋小口诀）[晨读]                          | 生字开花                                |                                    
第3单元 | 第6周 | 第1天 | 绕口令小专家                    | 小舌头练习[课本复习]                         | 绕口令：四是四[绕口令]                        | 词语小宝库                               |                                    
第3单元 | 第6周 | 第2天 | 声母y w                     | 小鱼回家[故事传说]                          | 画[古诗词]                              | 好习惯小明星                              |                                    
第3单元 | 第6周 | 第3天 | 彩虹桥弯弯                     | 我爱我家[童谣童诗]                          | 谜语：弯弯的桥[趣味谜语]                       | 学说一句话：什么时候，谁在家里干什么                  |                                    
第3单元 | 第6周 | 第4天 | 知识小积累                     | 学认汉字（复习字词）[课本复习]                    | 小对歌[国学经典]                           | 生字开花                                |                                    
第3单元 | 第6周 | 第5天 | 友爱的小马                     | 小马帮小鸟[故事传说]                         | 绕口令：黑灰化肥[绕口令]                       | 词语小宝库                               |                                    
第3单元 | 第6周 | 第6天 | 高楼与远方                     | 小花与小草[童谣童诗]                         | 古朗月行（节选）[古诗词]                       | 智慧小口诀                               |                                    
第4单元 | 第7周 | 第1天 | 小小船儿开（ai ei ui）           | 小船开来了[课本复习]                         | 三字经（选段）[国学经典]                       | 生字开花                                |                                    
第4单元 | 第7周 | 第2天 | 太阳公公笑                     | 米粒和水花[故事传说]                         | 绕口令：练唇齿[绕口令]                        | 学说一句话：谁干什么                          |                                    
第4单元 | 第7周 | 第3天 | 小鸟爱唱歌（ao ou iu）           | 开心小宝宝[童谣童诗]                         | 池上[古诗词]                             | 词语小宝库                               |                                    
第4单元 | 第7周 | 第4天 | 快乐玩游戏（ao ou iu）           | 高楼与小手[课本复习]                         | 谜语：一个自然现象[趣味谜语]                     | 好习惯小明星                              |                                    
第4单元 | 第7周 | 第5天 | 找找好朋友                     | 大象伯伯[故事传说]                          | 弟子规（选读）[国学经典]                       | 奇思妙想屋                               |                                    
第4单元 | 第7周 | 第6天 | 甜甜小果子                     | 弯弯的月亮[童谣童诗]                         | 智慧小口诀[晨读]                           | 生字开花                                |                                    
第4单元 | 第8周 | 第1天 | 好听新声音：an en in un ün      | 安静看书[课本复习]                          | 绕口令：练鼻音[绕口令]                        | 词语小宝库                               |                                    
第4单元 | 第8周 | 第2天 | 帮帮小青蛙                     | 找蛋蛋[故事传说]                           | 悯农（其二）[古诗词]                         | 好习惯小明星                              |                                    
第4单元 | 第8周 | 第3天 | 大自然真美                     | 芬芳花朵[童谣童诗]                          | 谜语：一个动物[趣味谜语]                       | 学说一句话：什么时候，谁在地方干什么                  |                                    
第4单元 | 第8周 | 第4天 | 我会动脑筋：ang eng ing ong     | 唱歌真好听[课本复习]                         | 三字经（选段）[国学经典]                       | 生字开花                                |                                    
第4单元 | 第8周 | 第5天 | 暖暖阳光下：ing ong             | 小猴和蝴蝶[故事传说]                         | 绕口令：练前后鼻音[绕口令]                      | 词语小宝库                               |                                    
第4单元 | 第8周 | 第6天 | 亲爱的小家                     | 我爱我家[童谣童诗]                          | 江雪[古诗词]                             | 智慧小口诀                               |                                    
第5单元 | 第9周 | 第1天 | 秋天的画笔真漂亮                  | 秋天（节选）[课本复习]                        | 三字经（选段）[国学经典]                       | 生字开花                                |                                    
第5单元 | 第9周 | 第2天 | 热心肠的小动物                   | 小刺猬的苹果[故事传说]                        | 绕口令：扁担长[绕口令]                        | 学说一句话：谁干什么                          |                                    
第5单元 | 第9周 | 第3天 | 小小手帕真可爱                   | 小手帕[童谣童诗]                           | 小池[古诗词]                             | 词语小宝库                               |                                    
第5单元 | 第9周 | 第4天 | 美丽的江南风光                   | 江南（节选）[课本复习]                        | 趣味谜语：水中小伞[趣味谜语]                     | 好习惯小明星                              |                                    
第5单元 | 第9周 | 第5天 | 谁在池塘里玩耍                   | 小鱼找妈妈[故事传说]                         | 弟子规（选读）[国学经典]                       | 奇思妙想屋                               |                                    
第5单元 | 第9周 | 第6天 | 小猫咪，爱干净                   | 小猫咪[童谣童诗]                           | 智慧小口诀[晨读]                           | 生字开花                                |                                    
第5单元 | 第10周 | 第1天 | 雪地里的小脚印                   | 雪地里的小画家（节选）[课本复习]                   | 绕口令：小花狗[绕口令]                        | 词语小宝库                               |                                    
第5单元 | 第10周 | 第2天 | 小猫捉迷藏                     | 小花猫[故事传说]                           | 江南[古诗词]                             | 好习惯小明星                              |                                    
第5单元 | 第10周 | 第3天 | 四季娃娃换衣服                   | 四季（童谣）[童谣童诗]                        | 趣味谜语：小小房子[趣味谜语]                     | 学说一句话：句式练习                          |                                    
第5单元 | 第10周 | 第4天 | 大自然的朋友                    | 四季（节选）[课本复习]                        | 声律启蒙（选读）[国学经典]                      | 生字开花                                |                                    
第5单元 | 第10周 | 第5天 | 爱劳动的小蜜蜂                   | 蜜蜂采蜜[故事传说]                          | 绕口令：大鼓和小鼓[绕口令]                      | 词语小宝库                               |                                    
第5单元 | 第10周 | 第6天 | 粮食粒粒皆辛苦                   | 数星星[童谣童诗]                           | 悯农（选读）[古诗词]                         | 智慧小口诀                               |                                    
第6单元 | 第11周 | 第1天 | 韵律小世界                     | 对韵歌（节选一）[课本复习]                      | 三字经（选段）[国学经典]                       | 生字开花                                |                                    
第6单元 | 第11周 | 第2天 | 快乐小帮手                     | 小猫和小鸟[故事传说]                         | 绕口令：吃葡萄[绕口令]                        | 学说一句话：并列动作                          |                                    
第6单元 | 第11周 | 第3天 | 星星亮晶晶                     | 小星星[童谣童诗]                           | 村居[古诗词]                             | 词语小宝库                               |                                    
第6单元 | 第11周 | 第4天 | 太阳月亮手拉手                   | 日月明[课本复习]                           | 趣味谜语：红灯笼[趣味谜语]                      | 好习惯小明星                              |                                    
第6单元 | 第11周 | 第5天 | 校园小秘密                     | 橡皮和铅笔[故事传说]                         | 弟子规（选读）[国学经典]                       | 奇思妙想屋                               |                                    
第6单元 | 第11周 | 第6天 | 彩色泡泡飞                     | 吹泡泡[童谣童诗]                           | 小乌龟爬山[故事传说]                         | 生字开花                                |                                    
第6单元 | 第12周 | 第1天 | 我的小书包                     | 小书包[课本复习]                           | 绕口令：盆和瓶[绕口令]                        | 词语小宝库                               |                                    
第6单元 | 第12周 | 第2天 | 小动物的友谊                    | 小兔和小马[故事传说]                         | 绝句[古诗词]                             | 好习惯小明星                              |                                    
第6单元 | 第12周 | 第3天 | 甜蜜蜜的梦                     | 睡觉歌[童谣童诗]                           | 趣味谜语：眼睛[趣味谜语]                       | 学说一句话：顺序表达                          |                                    
第6单元 | 第12周 | 第4天 | 我爱五星红旗                    | 升国旗[课本复习]                           | 声律启蒙（选读）[国学经典]                      | 生字开花                                |                                    
第6单元 | 第12周 | 第5天 | 勇敢小探险                     | 小猴摘桃[故事传说]                          | 绕口令：坡上立着一只婆婆[绕口令]                   | 词语小宝库                               |                                    
第6单元 | 第12周 | 第6天 | 夏天真美妙                     | 小雨点[童谣童诗]                           | 赠汪伦[古诗词]                            | 智慧小口诀：谚语                            |                                    
第7单元 | 第13周 | 第1天 | 星星月亮眨眨眼                   | 小小的船（节选）[课本复习]                      | 三字经（选段）[国学经典]                       | 生字开花                                |                                    
第7单元 | 第13周 | 第2天 | 影子游戏真好玩                   | 小熊和小兔[故事传说]                         | 绕口令：房前屋后[绕口令]                       | 学说一句话：……先……，然后……，最后……？              |                                    
第7单元 | 第13周 | 第3天 | 好帮手真能干                    | 我的小手小脑[童谣童诗]                        | 寻隐者不遇[古诗词]                          | 词语小宝库                               |                                    
第7单元 | 第13周 | 第4天 | 宝藏在哪里                     | 两件宝（节选）[课本复习]                       | 趣味谜语：打一自然物[趣味谜语]                    | 好习惯小明星                              |                                    
第7单元 | 第13周 | 第5天 | 奇妙的自然朋友                   | 太阳和云朵[故事传说]                         | 弟子规（选读）[国学经典]                       | 奇思妙想屋                               |                                    
第7单元 | 第13周 | 第6天 | 月牙儿像什么                    | 我的影子[童谣童诗]                          | 智慧小口诀[晨读]                           | 生字开花                                |                                    
第7单元 | 第14周 | 第1天 | 影子的秘密                     | 影子（节选）[课本复习]                        | 绕口令：四和十[绕口令]                        | 词语小宝库                               |                                    
第7单元 | 第14周 | 第2天 | 做个勤劳小宝宝                   | 勤劳的小蜜蜂[故事传说]                        | 早发白帝城[古诗词]                          | 好习惯小明星                              |                                    
第7单元 | 第14周 | 第3天 | 学习本领大                     | 学习真有趣[童谣童诗]                         | 趣味谜语：打一小动物[趣味谜语]                    | 学说一句话：什么像什么                         |                                    
第7单元 | 第14周 | 第4天 | 读读园地七                     | 语文园地七（复习）[课本复习]                     | 声律启蒙（选读）[国学经典]                      | 生字开花                                |                                    
第7单元 | 第14周 | 第5天 | 船儿摇啊摇                     | 小鱼的旅行[故事传说]                         | 绕口令：哥哥弟弟[绕口令]                       | 词语小宝库                               |                                    
第7单元 | 第14周 | 第6天 | 小小的一家                     | 我的家[童谣童诗]                           | 回乡偶书[古诗词]                           | 智慧小口诀                               |                                    
第8单元 | 第15周 | 第1天 | 尾巴摇摇真可爱                   | 比尾巴（节选）[课本复习]                       | 三字经（选段）[国学经典]                       | 生字开花                                |                                    
第8单元 | 第15周 | 第2天 | 聪明宝宝想办法                   | 小猴捞月[故事传说]                          | 绕口令（唇齿音）[绕口令]                       | 学说一句话：我看到（哪里）有（什么），它（怎么样）           |                                    
第8单元 | 第15周 | 第3天 | 小诗歌里找春天                   | 小燕子[童谣童诗]                           | 所见[古诗词]                             | 词语小宝库                               |                                    
第8单元 | 第15周 | 第4天 | 爱动脑筋小乌鸦                   | 乌鸦喝水（节选）[课本复习]                      | 趣味谜语：打一日常用品[趣味谜语]                   | 好习惯小明星                              |                                    
第8单元 | 第15周 | 第5天 | 学做懂事好孩子                   | 小兔子运蘑菇[故事传说]                        | 弟子规（选段）[国学经典]                       | 奇思妙想屋                               |                                    
第8单元 | 第15周 | 第6天 | 天空洒下亮晶晶                   | 雨点儿的歌[童谣童诗]                         | 智慧小口诀[晨读]                           | 生字开花                                |                                    
第8单元 | 第16周 | 第1天 | 一起把水喝光光                   | 乌鸦喝水（选段）[课本复习]                      | 绕口令：平舌音与翘舌音[绕口令]                    | 词语小宝库                               |                                    
第8单元 | 第16周 | 第2天 | 小雨滴旅行记                    | 小雨点儿[故事传说]                          | 望庐山瀑布[古诗词]                          | 好习惯小明星                              |                                    
第8单元 | 第16周 | 第3天 | 弯弯月亮像小船                   | 小喇叭[童谣童诗]                           | 趣味谜语：打一自然现象[趣味谜语]                   | 学说一句话：怎样的谁干什么？                      |                                    
第8单元 | 第16周 | 第4天 | 云里来土里去                    | 雨点儿（节选）[课本复习]                       | 声律启蒙（选段）[国学经典]                      | 生字开花                                |                                    
第8单元 | 第16周 | 第5天 | 动脑筋想办法                    | 小羊和桥[故事传说]                          | 绕口令：平舌音与翘舌音[绕口令]                    | 词语小宝库                               |                                    
第8单元 | 第16周 | 第6天 | 勤劳宝贝嗡嗡嗡                   | 小蜜蜂[童谣童诗]                           | 梅花[古诗词]                             | 智慧小口诀                               |                                    

总计：96 天，共 288 篇文章
