========================================================================================================================================================================================================
2年级8个单元完整文章汇总（详细版）（有拼音_重写版·下学期）
========================================================================================================================================================================================================

单元        | 周       | 天       | 主题                         | 文章1[体裁]                              | 文章2[体裁]                              | 文章3[体裁]                              | 文章4[体裁]
第2单元   | 第3周  | 第2天  | 劳动的甜蜜                      | 千人糕（节选）[课本复习]                      | 坐井观天（节选）[故事传说]                     | 弟子规（节选）[国学经典]                      | 好句小箩筐
第2单元   | 第3周  | 第3天  | 大自然的脚步                     | 云[现代短文]                            | 花儿的话[童谣童诗]                         | 守株待兔（节选）[小古文]                      | 写话小技巧
第2单元   | 第3周  | 第4天  | 快乐的发现                      | 一匹出色的马（节选）[课本复习]                   | 下雨了[现代短文]                          | 乌鸦喝水[故事传说]                         | 写话小技巧
第2单元   | 第3周  | 第5天  | 美好的品质                      | 雷锋叔叔，你在哪里（二）[课本复习]                 | 咏柳[古诗词]                            | 论语（节选）[国学经典]                       | 词语小宝库
第2单元   | 第3周  | 第6天  | 动脑筋长智慧                     | 小猴子下山（节选）[现代短文]                    | 龟兔赛跑[故事传说]                         | 春雨[童谣童诗]                           | 谚语歇后语
第2单元   | 第4周  | 第1天  | 寻找春天的足迹                    | 雷锋叔叔，你在哪里（节选）[课本复习]                | 春姑娘[现代短文]                          | 揠苗助长[小古文]                          | 词语小宝库
第2单元   | 第4周  | 第2天  | 懂得分享和爱                     | 千人糕（节选二）[课本复习]                     | 狐狸和蝉[故事传说]                         | 鹿柴[古诗词]                            | 好句小箩筐
第2单元   | 第4周  | 第3天  | 大自然的魔法                     | 夏天的风[现代短文]                         | 一匹出色的马（节选二）[课本复习]                  | 三字经（节选）[国学经典]                      | 修辞手法
第2单元   | 第4周  | 第4天  | 观察的乐趣                      | 雨后[现代短文]                           | 北风和太阳[故事传说]                        | 小草[童谣童诗]                           | 修辞手法
第2单元   | 第4周  | 第5天  | 快乐的小天地                     | 一匹出色的马（节选三）[课本复习]                  | 家[现代短文]                            | 刻舟求剑（节选）[小古文]                      | 描写手法
第2单元   | 第4周  | 第6天  | 成长的感悟                      | 语文园地二（节选）[课本复习]                    | 小蜗牛（节选）[现代短文]                      | 绝句[古诗词]                            | 谚语歇后语
第3单元   | 第5周  | 第1天  | 壮美神州                       | 神州谣（节选）[课本复习]                      | 家乡的山[现代短文]                         | 望庐山瀑布[古诗词]                         | 词语小宝库
第3单元   | 第5周  | 第2天  | 快乐传统节                      | 传统节日（节选）[课本复习]                     | 年兽的传说[故事传说]                        | 弟子规（节选）[国学经典]                      | 好句小箩筐
第3单元   | 第5周  | 第3天  | 文字的奥秘                      | 神奇的汉字[现代短文]                        | 问银河[童谣童诗]                          | 揠苗助长（节选）[小古文]                      | 写话技巧（标点符号法）
第3单元   | 第5周  | 第4天  | 舌尖上的中国                     | 中国美食（节选）[课本复习]                     | 大米是怎么来的[现代短文]                      | 狐狸和蝉[故事传说]                         | 写话技巧（仿写）
第3单元   | 第5周  | 第5天  | 祖国在我心中                     | “贝”的故事（节选）[课本复习]                   | 回乡偶书[古诗词]                          | 论语（节选）[国学经典]                       | 四字成语（用欢天喜地说一句话）
第3单元   | 第5周  | 第6天  | 大自然的歌                      | 小草[现代短文]                           | 守株待兔[故事传说]                         | 花开了[童谣童诗]                          | 谚语与歇后语
第3单元   | 第6周  | 第1天  | 祖国山河美                      | 神州谣（选段）[课本复习]                      | 美丽的西湖[现代短文]                        | 小国文（选段）[小古文]                       | 词语小宝库
第3单元   | 第6周  | 第2天  | 传统文化情                      | 传统节日（选段）[课本复习]                     | 牛郎织女[故事传说]                         | 清明[古诗词]                            | 好句小箩筐
第3单元   | 第6周  | 第3天  | 有趣的文字                      | 贝的故事（选段）[课本复习]                     | 会说话的符号[现代短文]                       | 论语（节选二）[国学经典]                      | 修辞手法（拟人）
第3单元   | 第6周  | 第4天  | 爱生活爱美食                     | 中国美食（选段）[课本复习]                     | 懒汉和勤快人[故事传说]                       | 神奇的翅膀[童谣童诗]                        | 修辞手法（比喻）
第3单元   | 第6周  | 第5天  | 汉字的演变                      | 贝的故事（结尾）[课本复习]                     | 有趣的汉字“山”[现代短文]                     | 刻舟求剑（节选）[小古文]                      | 描写手法
第3单元   | 第6周  | 第6天  | 快乐童年                       | 长大以后做什么（选段）[课本复习]                  | 风[现代短文]                            | 村居[古诗词]                            | 谚语与歇后语
第4单元   | 第7周  | 第1天  | 梦幻般的彩色世界                   | 彩色的梦（节选）[课本复习]                     | 夏天的画[现代短文]                         | 小池[古诗词]                            | 词语小宝库
第4单元   | 第7周  | 第2天  | 枫树上的秘密                     | 枫树上的喜鹊（节选）[课本复习]                   | 聪明的乌鸦[故事传说]                        | 弟子规（节选）[国学经典]                      | 好句小箩筐
第4单元   | 第7周  | 第3天  | 童话与梦想                      | 早晨[现代短文]                           | 如果我是一片云[童谣童诗]                      | 揠苗助长（节选）[小古文]                      | 写话技巧：连词成句法
第4单元   | 第7周  | 第4天  | 沙滩上的童话                     | 沙滩上的童话（节选）[课本复习]                   | 小贝壳[现代短文]                          | 掩耳盗铃[故事传说]                         | 写话技巧：仿写练习
第4单元   | 第7周  | 第5天  | 大自然的道理                     | 我是一只小虫子（节选）[课本复习]                  | 画鸡[古诗词]                            | 论语（节选）[国学经典]                       | 四字成语
第4单元   | 第7周  | 第6天  | 快乐的一天                      | 我的课余生活[现代短文]                       | 北风与太阳[故事传说]                        | 小草[童谣童诗]                           | 谚语/歇后语
第4单元   | 第8周  | 第1天  | 梦里的调色盘                     | 彩色的梦（节选二）[课本复习]                    | 七彩虹[现代短文]                          | 鹿柴[古诗词]                            | 词语小宝库
第4单元   | 第8周  | 第2天  | 动物邻居们                      | 枫树上的喜鹊（节选二）[课本复习]                  | 狐狸与蝉[故事传说]                         | 回乡偶书[古诗词]                          | 好句小箩筐
第4单元   | 第8周  | 第3天  | 大自然的语言                     | 大自然的语言[现代短文]                       | 沙滩上的童话（节选二）[课本复习]                  | 论语（节选二）[国学经典]                      | 修辞手法：拟人
第4单元   | 第8周  | 第4天  | 快乐的小生灵                     | 勤劳的小蜜蜂[现代短文]                       | 蝉与蚂蚁[故事传说]                         | 花儿的话[童谣童诗]                         | 修辞手法：比喻
第4单元   | 第8周  | 第5天  | 草地上的快乐                     | 我是一只小虫子（节选二）[课本复习]                 | 草地上[现代短文]                          | 精卫填海[小古文]                          | 描写手法
第4单元   | 第8周  | 第6天  | 成长的足迹                      | 语文园地（节选）[课本复习]                     | 我的理想[现代短文]                         | 村居[古诗词]                            | 谚语/歇后语
第5单元   | 第9周  | 第1天  | 知错就改好孩子                    | 亡羊补牢 (节选)[课本复习]                    | 早操[现代短文]                           | 画鸡[古诗词]                            | 词语小宝库
第5单元   | 第9周  | 第2天  | 脚踏实地方能成                    | 揠苗助长 (节选)[课本复习]                    | 掩耳盗铃[故事传说]                         | 论语 (节选)[国学经典]                      | 好句小箩筐
第5单元   | 第9周  | 第3天  | 换个角度看世界                    | 彩虹[现代短文]                           | 如果我是一片雪花[童谣童诗]                     | 刻舟求剑 (节选)[小古文]                     | 写话技巧：标点符号法
第5单元   | 第9周  | 第4天  | 换个角度，大不相同                  | 画杨桃 (节选)[课本复习]                     | 盲人摸象 (节选)[故事传说]                    | 春雨[现代短文]                           | 写话技巧：仿写练习
第5单元   | 第9周  | 第5天  | 传统文化韵味长                    | 画杨桃 (节选二)[课本复习]                    | 鹿柴[古诗词]                            | 弟子规 (节选)[国学经典]                     | 成语小宝库
第5单元   | 第9周  | 第6天  | 智慧的小脑瓜                     | 聪明的狐狸[现代短文]                        | 司马光砸缸[故事传说]                        | 风[童谣童诗]                            | 谚语/歇后语
第5单元   | 第10周 | 第1天  | 动脑筋，试一试                    | 小马过河 (节选)[课本复习]                    | 寻找春天[现代短文]                         | 小古文：精卫填海 (节选)[小古文]                 | 词语小宝库
第5单元   | 第10周 | 第2天  | 小故事，大智慧                    | 小马过河 (节选二)[课本复习]                   | 狐狸和蝉[故事传说]                         | 绝句[古诗词]                            | 好句小箩筐
第5单元   | 第10周 | 第3天  | 快乐的小精灵                     | 风娃娃 (节选)[现代短文]                     | 亡羊补牢 (复习)[课本复习]                    | 三字经 (节选)[国学经典]                     | 修辞手法：拟人
第5单元   | 第10周 | 第4天  | 奇妙的想象力                     | 云房子[现代短文]                          | 北风和太阳[故事传说]                        | 下雨了[童谣童诗]                          | 修辞手法：比喻
第5单元   | 第10周 | 第5天  | 细心观察生活                     | 画杨桃 (复习)[课本复习]                     | 蜗牛的家[现代短文]                         | 小古文：咏鹅[小古文]                        | 描写手法：色彩描写
第5单元   | 第10周 | 第6天  | 成长的足迹                      | 揠苗助长 (复习)[课本复习]                    | 爱劳动的小蜜蜂[现代短文]                      | 回乡偶书[古诗词]                          | 谚语/歇后语
第6单元   | 第11周 | 第1天  | 夏日的送别                      | 晓出净慈寺送林子方（节选）[课本复习]                | 小荷塘[现代短文]                          | 咏鹅[古诗词]                            | 词语小宝库
第6单元   | 第11周 | 第2天  | 智慧与观察                      | 绝句（节选）[课本复习]                       | 揠苗助长[故事传说]                         | 论语（节选）[国学经典]                       | 好句小箩筐
第6单元   | 第11周 | 第3天  | 天空的表情                      | 雷雨（节选）[现代短文]                       | 彩虹[童谣童诗]                           | 画猫[小古文]                            | 写话小技巧
第6单元   | 第11周 | 第4天  | 大自然的指南针                    | 要是你在野外迷了路（节选）[课本复习]                | 风的孩子[现代短文]                         | 蚂蚁和蝉[故事传说]                         | 写话小技巧
第6单元   | 第11周 | 第5天  | 太空奇遇记                      | 太空生活趣事多（节选）[课本复习]                  | 江雪[古诗词]                            | 弟子规（节选）[国学经典]                      | 四字成语
第6单元   | 第11周 | 第6天  | 梦想与勤奋                      | 小种子[现代短文]                          | 勤劳的蜜蜂[故事传说]                        | 想飞的猫[童谣童诗]                         | 谚语/歇后语
第6单元   | 第12周 | 第1天  | 夏日的清凉                      | 晓出净慈寺送林子方（节选二）[课本复习]               | 夏天的午后[现代短文]                        | 精卫填海（节选）[小古文]                      | 词语小宝库
第6单元   | 第12周 | 第2天  | 古人的观察                      | 绝句（节选二）[课本复习]                      | 守株待兔[故事传说]                         | 江上渔者[古诗词]                          | 好句小箩筐
第6单元   | 第12周 | 第3天  | 大自然的奇观                     | 雷雨（节选二）[课本复习]                      | 小水滴的旅行[现代短文]                       | 论语（节选二）[国学经典]                      | 修辞手法
第6单元   | 第12周 | 第4天  | 奇妙的翅膀                      | 飞向森林[现代短文]                         | 蝉和狐狸[故事传说]                         | 风的孩子[童谣童诗]                         | 修辞手法
第6单元   | 第12周 | 第5天  | 方向与探索                      | 要是你在野外迷了路（节选二）[课本复习]               | 大自然的奥秘[现代短文]                       | 咏柳[古诗词]                            | 描写手法
第6单元   | 第12周 | 第6天  | 太空与梦想                      | 太空生活趣事多（节选二）[课本复习]                 | 月亮姐姐[现代短文]                         | 回乡偶书[古诗词]                          | 谚语/歇后语（用有志者事竟成说一句话）
第7单元   | 第13周 | 第1天  | 大象的奇特耳朵                    | 大象的耳朵（节选）[课本复习]                    | 可爱的小白兔[现代短文]                       | 画鸡[古诗词]                            | 词语小宝库
第7单元   | 第13周 | 第2天  | 蜘蛛的劳动生活                    | 蜘蛛开店（节选）[课本复习]                     | 守株待兔[故事传说]                         | 论语（节选）[国学经典]                       | 好句小箩筐
第7单元   | 第13周 | 第3天  | 大自然的奥秘                     | 风的孩子[现代短文]                         | 牵牛花[童谣童诗]                          | 揠苗助长[小古文]                          | 写话技巧（标点符号）
第7单元   | 第13周 | 第4天  | 勤劳的小青蛙                     | 青蛙卖泥塘（节选）[课本复习]                    | 小蚂蚁[现代短文]                          | 金斧头[故事传说]                          | 写话技巧
第7单元   | 第13周 | 第5天  | 成长的变化                      | 小毛虫（节选）[课本复习]                      | 小池[古诗词]                            | 弟子规（节选）[国学经典]                      | 四字成语
第7单元   | 第13周 | 第6天  | 小动物的智慧                     | 小猴子[现代短文]                          | 乌鸦喝水[故事传说]                         | 爸爸的胡子[童谣童诗]                        | 谚语/歇后语
第7单元   | 第14周 | 第1天  | 坚持与成长                      | 大象的耳朵（节选二）[课本复习]                   | 萤火虫[现代短文]                          | 两鼠斗穴[小古文]                          | 词语小宝库
第7单元   | 第14周 | 第2天  | 不怕困难                       | 蜘蛛开店（节选二）[课本复习]                    | 愚公移山[故事传说]                         | 回乡偶书[古诗词]                          | 好句小箩筐
第7单元   | 第14周 | 第3天  | 美好的环境                      | 小花园[现代短文]                          | 青蛙卖泥塘（节选二）[课本复习]                   | 论语（节选二）[国学经典]                      | 修辞手法（拟人）
第7单元   | 第14周 | 第4天  | 神奇的自然                      | 小毛虫（节选二）[课本复习]                     | 盘古[故事传说]                           | 白云[童谣童诗]                           | 修辞手法（比喻）
第7单元   | 第14周 | 第5天  | 成长的足迹                      | 大象的耳朵（复习）[课本复习]                    | 小树长高了[现代短文]                        | 精卫填海[小古文]                          | 描写手法
第7单元   | 第14周 | 第6天  | 快乐的学习生活                    | 青蛙卖泥塘（复习）[课本复习]                    | 校园早晨[现代短文]                         | 夜宿山寺[古诗词]                          | 谚语/歇后语
第8单元   | 第15周 | 第1天  | 寻找祖先的足迹                    | 祖先的摇篮（节选）[课本复习]                    | 森林早晨[现代短文]                         | 鹿柴[古诗词]                            | 词语小宝库
第8单元   | 第15周 | 第2天  | 英雄羿射九日                     | 羿射九日（节选）[课本复习]                     | 精卫填海[故事传说]                         | 论语（节选）[国学经典]                       | 好句小箩筐
第8单元   | 第15周 | 第3天  | 大自然的儿歌                     | 风的孩子[现代短文]                         | 露珠[童谣童诗]                           | 揠苗助长（节选）[小古文]                      | 写话小课堂
第8单元   | 第15周 | 第4天  | 黄帝的智慧                      | 黄帝的传说（节选）[课本复习]                    | 爱动脑筋的小明[现代短文]                      | 画蛇添足[故事传说]                         | 写话小课堂
第8单元   | 第15周 | 第5天  | 古人的嘱托                      | 羿射九日（节选二）[课本复习]                    | 悯农（其一）[古诗词]                        | 弟子规（节选）[国学经典]                      | 成语对对碰
第8单元   | 第15周 | 第6天  | 快乐童年生活                     | 放风筝[现代短文]                          | 守株待兔[故事传说]                         | 小雨[童谣童诗]                           | 谚语/歇后语
第8单元   | 第16周 | 第1天  | 祖先的生活                      | 祖先的摇篮（节选三）[课本复习]                   | 森林里的小鹿[现代短文]                       | 自相矛盾[小古文]                          | 词语小宝库
第8单元   | 第16周 | 第2天  | 神话的力量                      | 羿射九日（节选四）[课本复习]                    | 夸父逐日[故事传说]                         | 登乐游原[古诗词]                          | 好句小箩筐
第8单元   | 第16周 | 第3天  | 快乐的小动物                     | 小青蛙回家[现代短文]                        | 黄帝的传说（节选二）[课本复习]                   | 论语（节选二）[国学经典]                      | 修辞手法：拟人
第8单元   | 第16周 | 第4天  | 奇妙的想象                      | 蒲公英的旅行[现代短文]                       | 画大山[童谣童诗]                          | 狐假虎威[故事传说]                         | 修辞手法：比喻
第8单元   | 第16周 | 第5天  | 祖先的奥秘                      | 祖先的摇篮（节选四）[课本复习]                   | 小猴子下山[现代短文]                        | 龟兔赛跑（节选）[故事传说]                     | 描写手法：颜色
第8单元   | 第16周 | 第6天  | 快乐的收获                      | 语文园地八（选段）[课本复习]                    | 小书迷[现代短文]                          | 回乡偶书[古诗词]                          | 谚语/歇后语

总计：96 天，共 384 篇文章
